,,Time,Minor,Major,CCGT,SD
Java11,PR,1,0.094294624839479,0.119611080535682,0,0.250412768299395
Java11,CC,1,0.0889304937982682,0.0786332787268898,0,0.198689445354552
Java11,SSSP,1,0.232201023731968,0.198697068403909,0,0.154257794322941
Java11,SVD,1,0.0884235796212323,0.31141637770072,0,0.257935449453187
Java11,TR,1,0.0174524025385313,0.734587488667271,0,0.11219401631913
Java11,LR,1,0.0399881516587678,0.0867890995260663,0,0.441054502369668
Java11,LgR,1,0.039,0.0705714285714286,0,0.447714285714286
Java11,SVM,1,0.0233659001080875,0.340473879627167,0,0.311438792378019
Java11,BC,1,0.00392063680646311,0.0684329333491743,0,0
Java11,SQL,1,0.13135593220339,0.457627118644068,0,0
Java17,PR,0.838378279214823,0.0328380113740598,0,0.000366905155017428,0.251513483764447
Java17,CC,0.897729932131992,0.0292534519073251,0,0.0002340276152586,0.216007488883688
Java17,SSSP,0.810835970218706,0.173399953466729,0.00299302000930665,0.000465332712889716,0.156718540883339
Java17,SVD,0.825286743131502,0.0726860496132302,0.042411309682582,0.000133368898372899,0.308748999733262
Java17,TR,0.506483454215775,0.101535811423391,0.108354261106074,0.000226654578422484,0.137745324236266
Java17,LR,0.936167061611374,0.107375592417062,0.0345082938388626,0.00023696682464455,0.403584123222749
Java17,LgR,0.900428571428571,0.0957142857142857,1.42857142857143E-05,0.0002,0.388
Java17,SVM,0,0,0,0,0
Java17,BC,0,0,0,0,0
Java17,SQL,0,0,0,0,0
HH,PR,0.313129102844639,0.0709961474958723,0.0682443588332416,0,0.067327095945698
HH,CC,0.244525547445255,0.0673999531944769,0.0723145331149076,0,0.0589749590451673
HH,SSSP,0.791456347007567,0.155712540671047,0.191341224164434,0,0.0745024380394246
HH,SVD,0.650614091790562,0.0264070418778341,0.137103227527341,0,0.0533475593491598
HH,TR,0.345421577515866,0.035131459655485,0.0750226654578423,0,0.101767905711695
HH,LR,0.449413067552602,0.0337956161137441,0.0341199644549763,0,0.0248657426426543
HH,LgR,0.481807075995558,0.0319721428571429,0.031726,0,0.0234094318618449
HH,SVM,0.70183819941564,0.0339004973503709,0.0351367217360467,0,0.0626606770968113
HH,BC,0.271890222169419,0.03362243079482,0.0630866104312701,0,0
HH,SQL,0.773305084745763,0.0540254237288136,0.475635593220339,0,0
